ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-01-13,LASANHA CONGELADA 500G,ALIMENTOS,2.0,30.0
2,2023-01-13,COMPUTADOR GAMER,ELETRONICOS,10.0,5500.0
3,2023-01-24,HEADSET LOGITECH,ACESSORIOS,15.0,190.0
4,2023-01-27,PINHAO 1KG,ALIMENTOS,8.0,25.0
5,2023-02-01,PINHAO 1KG,ALIMENTOS,8.0,25.0
6,2023-02-21,NOTEBOOK,ELETRONICOS,9.0,4500.0
7,2023-02-22,SUCRILHOS,CATEGORIA DESCONHECIDA,16.0,12.0
8,2023-03-05,COMPUTADOR GAMER,ELETRONICOS,13.5,5500.0
9,2023-03-21,PINHAO 1KG,ALIMENTOS,16.0,25.0
10,2023-03-28,HEADSET LOGITECH,ACESSORIOS,19.0,190.0
11,2023-04-05,LASANHA CONGELADA 500G,ALIMENTOS,17.0,30.0
12,2023-04-22,HEADSET LOGITECH,ACESSORIOS,9.0,190.0
13,2023-05-01,PINHAO 1KG,ALIMENTOS,13.0,25.0
14,2023-05-03,GEFORCE RTX 5090,ELETRONICOS,4.0,13000.0
15,2023-05-11,PINHAO 1KG,ALIMENTOS,9.0,25.0
16,2023-05-12,LASANHA CONGELADA 500G,ALIMENTOS,14.0,30.0
17,2023-05-12,GEFORCE RTX 5090,ELETRONICOS,6.0,13000.0
18,2023-05-25,COMPUTADOR GAMER,ELETRONICOS,3.0,5500.0
19,2023-06-05,LASANHA CONGELADA 500G,ALIMENTOS,16.0,30.0
20,2023-06-16,HEADSET LOGITECH,ACESSORIOS,17.0,190.0
21,2023-06-16,GEFORCE RTX 5090,ELETRONICOS,17.0,13000.0
22,2023-06-18,GEFORCE RTX 5090,ELETRONICOS,17.0,13000.0
23,2023-07-01,CAFE PELE 500G,CATEGORIA DESCONHECIDA,14.0,15.0
24,2023-07-02,CAFE PELE 500G,ALIMENTOS,15.0,15.0
25,2023-07-08,PINHAO 1KG,ALIMENTOS,2.0,25.0
26,2023-07-13,COMPUTADOR GAMER,ELETRONICOS,11.0,5500.0
27,2023-07-18,LASANHA CONGELADA 500G,ALIMENTOS,11.0,30.0
28,2023-07-19,NOTEBOOK,ELETRONICOS,17.0,4500.0
29,2023-08-04,PINHAO 1KG,ALIMENTOS,13.5,25.0
30,2023-08-05,COMPUTADOR GAMER,ELETRONICOS,16.0,5500.0
31,2023-08-08,NOTEBOOK,ELETRONICOS,9.0,4500.0
32,2023-08-09,SUCRILHOS,ALIMENTOS,14.0,12.0
33,2023-08-22,NOTEBOOK,ELETRONICOS,7.0,4500.0
34,2023-08-27,GEFORCE RTX 5090,ELETRONICOS,12.0,13000.0
35,2023-09-08,COMPUTADOR GAMER,ELETRONICOS,19.0,5500.0
36,2023-09-09,SUCRILHOS,ALIMENTOS,13.0,12.0
37,2023-09-10,NOTEBOOK,ELETRONICOS,3.0,4500.0
38,2023-09-11,LASANHA CONGELADA 500G,ALIMENTOS,16.0,30.0
39,2023-09-15,LASANHA CONGELADA 500G,ALIMENTOS,18.0,30.0
40,2023-10-04,CAFE PELE 500G,ALIMENTOS,19.0,15.0
41,2023-10-16,GEFORCE RTX 5090,ELETRONICOS,15.0,13000.0
42,2023-10-19,COMPUTADOR GAMER,ELETRONICOS,1.0,5500.0
43,2023-11-18,COMPUTADOR GAMER,ELETRONICOS,13.0,5500.0
44,2023-12-08,GEFORCE RTX 5090,ELETRONICOS,19.0,13000.0
45,2023-12-12,NOTEBOOK,ELETRONICOS,2.0,4500.0
46,2023-12-13,NOTEBOOK,ELETRONICOS,18.0,4500.0
47,2023-12-18,GEFORCE RTX 5090,ELETRONICOS,11.0,13000.0
48,2023-12-24,LASANHA CONGELADA 500G,ALIMENTOS,18.0,30.0
49,2023-12-26,LASANHA CONGELADA 500G,ALIMENTOS,18.0,30.0
50,2023-12-31,PINHAO 1KG,ALIMENTOS,7.0,25.0
