ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-01-04,Notebook,Eletrônicos,18.0,81000.0
2,2023-01-06,Sucrilhos,Alimentos,13.0,156.0
3,2023-01-07,,Acessórios,1.0,190.0
4,2023-01-10,Lasanha Congelada 500g,Alimentos,17.0,510.0
5,2023-01-20,Notebook,Eletrônicos,8.0,36000.0
6,2023-01-26,Geforce RTX 5090,Eletrônicos,16.0,56000.0
7,2023-02-20,Café Pelé 500g,Alimentos,18.0,270.0
8,2023-03-04,Headset Logitech,Acessórios,11.0,2090.0
9,2023-03-05,Sucrilhos,Alimentos,3.0,36.0
10,2023-03-05,Computador Gamer,Eletrônicos,5.0,27500.0
11,2023-03-11,Lasanha Congelada 500g,Alimentos,6.0,180.0
12,2023-03-14,,Alimentos,19.0,285.0
13,2023-03-20,Lasanha Congelada 500g,Alimentos,12.0,360.0
14,2023-04-06,Headset Logitech,Acessórios,8.0,1520.0
15,2023-04-10,Lasanha Congelada 500g,Alimentos,6.0,180.0
16,2023-04-23,Geforce RTX 5090,Eletrônicos,6.0,21000.0
17,2023-04-25,Café Pelé 500g,Alimentos,4.0,60.0
18,2023-04-25,Sucrilhos,Alimentos,4.0,48.0
19,2023-04-28,Lasanha Congelada 500g,Alimentos,6.0,180.0
20,2023-05-03,Geforce RTX 5090,Eletrônicos,7.0,24500.0
21,2023-05-04,Geforce RTX 5090,Eletrônicos,5.0,17500.0
22,2023-05-15,,Alimentos,18.0,450.0
23,2023-05-16,Lasanha Congelada 500g,Alimentos,13.0,390.0
24,2023-05-20,Pinhão 1kg,Alimentos,6.0,
25,2023-05-25,Pinhão 1kg,Alimentos,4.0,100.0
26,2023-06-05,Computador Gamer,Eletrônicos,12.0,66000.0
27,2023-06-17,Notebook,Eletrônicos,4.0,18000.0
28,2023-06-18,Computador Gamer,Eletrônicos,15.0,82500.0
29,2023-06-27,Headset Logitech,Acessórios,12.0,2280.0
30,2023-07-12,Pinhão 1kg,Alimentos,5.0,125.0
31,2023-07-29,Headset Logitech,Acessórios,5.0,950.0
32,2023-08-01,Headset Logitech,Acessórios,4.0,760.0
33,2023-08-26,Sucrilhos,Alimentos,14.0,168.0
34,2023-08-30,Café Pelé 500g,Alimentos,4.0,60.0
35,2023-09-01,Geforce RTX 5090,Eletrônicos,9.0,31500.0
36,2023-09-03,Geforce RTX 5090,Eletrônicos,1.0,3500.0
37,2023-09-04,Lasanha Congelada 500g,Alimentos,2.0,60.0
38,2023-09-08,Café Pelé 500g,Alimentos,14.0,210.0
39,2023-09-14,Café Pelé 500g,Alimentos,6.0,90.0
40,2023-10-01,Headset Logitech,Acessórios,16.0,3040.0
41,2023-10-22,Geforce RTX 5090,Eletrônicos,17.0,59500.0
42,2023-10-25,Computador Gamer,Eletrônicos,8.0,44000.0
43,2023-10-29,Notebook,Eletrônicos,11.0,49500.0
44,2023-11-05,Sucrilhos,Alimentos,,168.0
45,2023-11-12,Lasanha Congelada 500g,Alimentos,13.0,390.0
46,2023-11-15,Pinhão 1kg,Alimentos,5.0,125.0
47,2023-11-26,Lasanha Congelada 500g,Alimentos,1.0,30.0
48,2023-12-06,Notebook,Eletrônicos,3.0,13500.0
49,2023-12-07,Computador Gamer,Eletrônicos,7.0,38500.0
50,2023-12-17,Geforce RTX 5090,Eletrônicos,6.0,21000.0
12,2023-03-14,,Alimentos,19.0,285.0
27,2023-06-17,Notebook,Eletrônicos,4.0,18000.0
