ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-01-15,Notebook,Eletrônicos,1,4500.0
2,2023-01-20,Headset Logitech,Acessórios,8,
3,2023-02-13,Geforce RTX 5090,Eletrônicos,13,45500.0
4,2023-02-14,Sucrilhos,Alimentos,1,12.0
5,2023-02-15,Headset Logitech,Acessórios,10,1900.0
6,2023-02-15,Computador Gamer,Eletrônicos,5,27500.0
7,2023-02-21,Notebook,Eletrônicos,4,18000.0
8,2023-03-05,Lasanha Congelada 500g,Alimentos,14,420.0
9,2023-03-13,Headset Logitech,Acessórios,4,760.0
10,2023-03-14,Sucrilhos,Alimentos,15,180.0
11,2023-03-17,Notebook,,19,85500.0
12,2023-03-29,Pinhão 1kg,Alimentos,16,400.0
13,2023-04-08,Café Pelé 500g,,13,195.0
14,2023-04-13,Pinhão 1kg,Alimentos,2,50.0
15,2023-04-15,Café Pelé 500g,Alimentos,16,240.0
16,2023-04-17,Computador Gamer,Eletrônicos,9,49500.0
17,2023-04-22,Sucrilhos,Alimentos,13,156.0
18,2023-05-06,Computador Gamer,Eletrônicos,2,11000.0
19,2023-05-09,Headset Logitech,Acessórios,9,1710.0
20,2023-05-23,Computador Gamer,Eletrônicos,11,60500.0
21,2023-05-24,Lasanha Congelada 500g,Alimentos,7,210.0
22,2023-05-28,Computador Gamer,Eletrônicos,14,77000.0
23,2023-06-02,Geforce RTX 5090,Eletrônicos,17,59500.0
24,2023-06-11,Café Pelé 500g,Alimentos,8,120.0
25,2023-07-02,,Eletrônicos,8,28000.0
26,2023-07-03,Headset Logitech,Acessórios,13,2470.0
27,2023-07-06,Café Pelé 500g,Alimentos,13,195.0
28,2023-07-08,Pinhão 1kg,Alimentos,5,125.0
29,2023-07-11,Notebook,Eletrônicos,17,76500.0
30,2023-07-13,Headset Logitech,Acessórios,6,1140.0
31,2023-07-16,Lasanha Congelada 500g,Alimentos,13,390.0
32,2023-07-19,Headset Logitech,Acessórios,15,2850.0
33,2023-07-24,Notebook,Eletrônicos,8,36000.0
34,2023-08-02,Pinhão 1kg,Alimentos,5,125.0
35,2023-08-04,Computador Gamer,Eletrônicos,5,27500.0
36,2023-08-05,Notebook,Eletrônicos,7,31500.0
37,2023-08-14,Notebook,Eletrônicos,2,9000.0
38,2023-08-17,,Alimentos,11,275.0
39,2023-08-22,Geforce RTX 5090,Eletrônicos,11,38500.0
40,2023-08-23,Computador Gamer,Eletrônicos,7,38500.0
41,2023-08-24,Pinhão 1kg,Alimentos,18,450.0
42,2023-08-30,Headset Logitech,Acessórios,2,380.0
43,2023-09-04,Geforce RTX 5090,Eletrônicos,18,63000.0
44,2023-10-23,Notebook,Eletrônicos,12,54000.0
45,2023-10-29,Computador Gamer,Eletrônicos,8,44000.0
46,2023-12-01,Notebook,Eletrônicos,1,4500.0
47,2023-12-09,Computador Gamer,Eletrônicos,17,93500.0
48,2023-12-17,Headset Logitech,Acessórios,7,1330.0
49,2023-12-21,Geforce RTX 5090,Eletrônicos,13,45500.0
50,2023-12-23,Pinhão 1kg,Alimentos,8,200.0
17,2023-04-22,Sucrilhos,Alimentos,13,156.0
24,2023-06-11,Café Pelé 500g,Alimentos,8,120.0
